nhood,subarea,period,concentration outdoor,concentration indoor (average),I/O,vent-m^3/h,Exposure
E00009334,0,,,,,,
E00009334,1,,,,,,
E00009334,2,,,,,,
E00009334,3,,,,,,
E00009334,5,,,,,,
E00009662,0,,,,,,
E00009662,1,,,,,,
E00009662,2,,,,,,
E00009662,3,,,,,,
E00009662,5,,,,,,
E00009714,0,,,,,,
E00009714,1,,,,,,
E00009714,4,,,,,,
E00009717,0,,,,,,
E00009717,1,,,,,,
E00009717,2,,,,,,
E00009794,0,,,,,,
E00009794,1,,,,,,
E00009795,0,,,,,,
E00009795,1,,,,,,
E00009795,4,,,,,,
E00009795,5,,,,,,
E00009844,0,,,,,,
E00009844,1,,,,,,
E00009844,2,,,,,,
E00009844,3,,,,,,
E00009844,5,,,,,,
E00010089,0,,,,,,
E00010089,1,,,,,,
E00010089,2,,,,,,
E00010089,3,,,,,,
E00010089,4,,,,,,
E00010089,5,,,,,,
E00010513,0,,,,,,
E00010513,1,,,,,,
E00010513,2,,,,,,
E00010538,0,,,,,,
E00010538,1,,,,,,
E00010538,5,,,,,,
E00010561,0,,,,,,
E00010561,1,,,,,,
E00010567,0,,,,,,
E00010567,1,,,,,,
E00010567,2,,,,,,
E00010575,0,,,,,,
E00010575,1,,,,,,
E00010575,2,,,,,,
E00010615,0,,,,,,
E00010615,1,,,,,,
E00010694,0,,,,,,
E00010694,1,,,,,,
E00010694,3,,,,,,
E00010694,5,,,,,,
E00010695,0,,,,,,
E00010695,1,,,,,,
E00010695,5,,,,,,
E00010738,0,,,,,,
E00010738,1,,,,,,
E00010808,0,,,,,,
E00010808,1,,,,,,
E00010808,2,,,,,,
E00011346,0,,,,,,
E00011346,1,,,,,,
E00011346,2,,,,,,
E00011346,3,,,,,,
E00011346,5,,,,,,
E00011452,0,,,,,,
E00011452,1,,,,,,
E00011452,5,,,,,,
E00011454,0,,,,,,
E00011454,1,,,,,,
E00011455,0,,,,,,
E00011455,1,,,,,,
E00011455,4,,,,,,
E00011455,5,,,,,,
E00011456,0,,,,,,
E00011456,1,,,,,,
E00011740,0,,,,,,
E00011740,1,,,,,,
E00011740,2,,,,,,
E00011740,5,,,,,,
E00012330,0,,,,,,
E00012330,1,,,,,,
E00012330,5,,,,,,
E00012331,0,,,,,,
E00012331,1,,,,,,
E00012338,0,,,,,,
E00012338,1,,,,,,
E00012339,0,,,,,,
E00012339,1,,,,,,
E00012453,0,,,,,,
E00012453,1,,,,,,
E00012453,2,,,,,,
E00012453,3,,,,,,
E00012453,4,,,,,,
E00012453,5,,,,,,
E00012477,0,,,,,,
E00012477,1,,,,,,
E00012477,2,,,,,,
E00012477,3,,,,,,
E00012477,5,,,,,,
E00012726,0,,,,,,
E00012726,1,,,,,,
E00012726,2,,,,,,
E00012726,3,,,,,,
E00012726,5,,,,,,
E00012948,0,,,,,,
E00012948,1,,,,,,
E00012948,5,,,,,,
E00012949,0,,,,,,
E00012949,1,,,,,,
E00012949,4,,,,,,
E00012949,5,,,,,,
E00013062,0,,,,,,
E00013062,1,,,,,,
E00013062,2,,,,,,
E00013062,3,,,,,,
E00013062,5,,,,,,
E00013116,0,,,,,,
E00013116,1,,,,,,
E00013144,0,,,,,,
E00013144,1,,,,,,
E00013144,5,,,,,,
E00013769,0,,,,,,
E00013769,1,,,,,,
E00013936,0,,,,,,
E00013936,1,,,,,,
E00013936,2,,,,,,
E00013936,3,,,,,,
E00013936,5,,,,,,
E00013964,0,,,,,,
E00013964,1,,,,,,
E00013964,4,,,,,,
E00013964,5,,,,,,
E00013966,0,,,,,,
E00013966,1,,,,,,
E00013966,5,,,,,,
E00013967,0,,,,,,
E00013967,1,,,,,,
E00013967,5,,,,,,
E00013997,0,,,,,,
E00013997,1,,,,,,
E00013997,4,,,,,,
E00013997,5,,,,,,
E00014101,0,,,,,,
E00014101,1,,,,,,
E00014101,2,,,,,,
E00014101,3,,,,,,
E00014101,4,,,,,,
E00014101,5,,,,,,
E00014192,0,,,,,,
E00014192,1,,,,,,
E00014192,3,,,,,,
E00014192,5,,,,,,
E00014453,0,,,,,,
E00014453,1,,,,,,
E00014454,0,,,,,,
E00014454,1,,,,,,
E00014454,4,,,,,,
E00014456,0,,,,,,
E00014456,1,,,,,,
E00014457,0,,,,,,
E00014457,1,,,,,,
E00014820,0,,,,,,
E00014820,1,,,,,,
E00014820,4,,,,,,
E00014854,0,,,,,,
E00014854,1,,,,,,
E00014854,5,,,,,,
E00014877,0,,,,,,
E00014877,1,,,,,,
E00014877,2,,,,,,
E00014877,3,,,,,,
E00014877,5,,,,,,
E00014940,0,,,,,,
E00014940,1,,,,,,
E00014941,0,,,,,,
E00014941,1,,,,,,
E00015149,0,,,,,,
E00015149,1,,,,,,
E00015149,2,,,,,,
E00015149,3,,,,,,
E00015149,5,,,,,,
E00015515,0,,,,,,
E00015515,1,,,,,,
E00015515,5,,,,,,
E00015516,0,,,,,,
E00015516,1,,,,,,
E00015517,0,,,,,,
E00015517,1,,,,,,
E00015593,0,,,,,,
E00015593,1,,,,,,
E00015593,4,,,,,,
E00015593,5,,,,,,
E00015596,0,,,,,,
E00015596,1,,,,,,
E00015596,2,,,,,,
E00015928,0,,,,,,
E00015928,1,,,,,,
E00015928,2,,,,,,
E00015928,3,,,,,,
E00016360,0,,,,,,
E00016360,1,,,,,,
E00016360,5,,,,,,
E00016361,0,,,,,,
E00016361,1,,,,,,
E00016361,5,,,,,,
E00016362,0,,,,,,
E00016362,1,,,,,,
E00016362,5,,,,,,
E00016368,0,,,,,,
E00016368,1,,,,,,
E00016474,0,,,,,,
E00016474,1,,,,,,
E00016474,2,,,,,,
E00016474,3,,,,,,
E00016474,5,,,,,,
E00016896,0,,,,,,
E00016896,1,,,,,,
E00016896,2,,,,,,
E00016896,3,,,,,,
E00016896,5,,,,,,
E00017015,0,,,,,,
E00017015,1,,,,,,
E00017093,0,,,,,,
E00017093,1,,,,,,
E00017094,0,,,,,,
E00017094,1,,,,,,
E00017224,0,,,,,,
E00017224,1,,,,,,
E00017225,0,,,,,,
E00017225,1,,,,,,
E00017225,2,,,,,,
E00017225,3,,,,,,
E00017225,4,,,,,,
E00017225,5,,,,,,
E00017532,0,,,,,,
E00017532,1,,,,,,
E00017532,2,,,,,,
E00017532,3,,,,,,
E00017532,5,,,,,,
E00017660,0,,,,,,
E00017660,1,,,,,,
E00017660,4,,,,,,
E00017820,0,,,,,,
E00017820,1,,,,,,
E00018051,0,,,,,,
E00018051,1,,,,,,
E00018052,0,,,,,,
E00018052,1,,,,,,
E00018053,0,,,,,,
E00018053,1,,,,,,
E00018222,0,,,,,,
E00018222,1,,,,,,
E00018222,2,,,,,,
E00018222,3,,,,,,
E00018222,5,,,,,,
E00018345,0,,,,,,
E00018345,1,,,,,,
E00018345,2,,,,,,
E00018347,0,,,,,,
E00018347,1,,,,,,
E00018600,0,,,,,,
E00018600,1,,,,,,
E00018681,0,,,,,,
E00018681,1,,,,,,
E00018835,0,,,,,,
E00018835,1,,,,,,
E00018835,2,,,,,,
E00018835,3,,,,,,
E00018835,4,,,,,,
E00018835,5,,,,,,
E00019218,0,,,,,,
E00019218,1,,,,,,
E00019218,4,,,,,,
E00019218,5,,,,,,
E00019219,0,,,,,,
E00019219,1,,,,,,
E00019241,0,,,,,,
E00019241,1,,,,,,
E00019241,2,,,,,,
E00019241,3,,,,,,
E00019241,5,,,,,,
E00019298,0,,,,,,
E00019298,1,,,,,,
E00019299,0,,,,,,
E00019299,1,,,,,,
E00019518,0,,,,,,
E00019518,1,,,,,,
E00019518,2,,,,,,
E00019518,3,,,,,,
E00019807,0,,,,,,
E00019807,1,,,,,,
E00019807,2,,,,,,
E00019807,3,,,,,,
E00019807,4,,,,,,
E00019807,5,,,,,,
E00019889,0,,,,,,
E00019889,1,,,,,,
E00019889,2,,,,,,
E00019889,4,,,,,,
E00020264,0,,,,,,
E00020264,1,,,,,,
E00020264,2,,,,,,
E00020264,4,,,,,,
E00020264,5,,,,,,
E00020266,0,,,,,,
E00020266,1,,,,,,
E00020266,5,,,,,,
E00020267,0,,,,,,
E00020267,1,,,,,,
E00020413,0,,,,,,
E00020413,1,,,,,,
E00020413,3,,,,,,
E00020413,4,,,,,,
E00020413,5,,,,,,
E00020596,0,,,,,,
E00020596,1,,,,,,
E00020596,2,,,,,,
E00020710,0,,,,,,
E00020710,1,,,,,,
E00020710,2,,,,,,
E00020710,3,,,,,,
E00020750,0,,,,,,
E00020750,1,,,,,,
E00020750,5,,,,,,
E00020752,0,,,,,,
E00020752,1,,,,,,
E00020752,4,,,,,,
E00020753,0,,,,,,
E00020753,1,,,,,,
E00020753,5,,,,,,
E00020755,0,,,,,,
E00020755,1,,,,,,
E00021143,0,,,,,,
E00021143,1,,,,,,
E00021143,2,,,,,,
E00021143,4,,,,,,
E00021143,5,,,,,,
E00021145,0,,,,,,
E00021145,1,,,,,,
E00021145,5,,,,,,
E00021279,0,,,,,,
E00021279,1,,,,,,
E00021463,0,,,,,,
E00021463,1,,,,,,
E00021463,5,,,,,,
E00021637,0,,,,,,
E00021637,1,,,,,,
E00021637,2,,,,,,
E00021637,3,,,,,,
E00021637,4,,,,,,
E00021637,5,,,,,,
E00022049,0,,,,,,
E00022049,1,,,,,,
E00022049,2,,,,,,
E00022049,3,,,,,,
E00022049,5,,,,,,
E00022059,0,,,,,,
E00022059,1,,,,,,
E00022059,2,,,,,,
E00022059,3,,,,,,
E00022059,5,,,,,,
E00022330,0,,,,,,
E00022330,1,,,,,,
E00022333,0,,,,,,
E00022333,1,,,,,,
E00022336,0,,,,,,
E00022336,1,,,,,,
E00022336,5,,,,,,
E00022337,0,,,,,,
E00022337,1,,,,,,
E00022337,5,,,,,,
E00023262,0,,,,,,
E00023262,1,,,,,,
E00023263,0,,,,,,
E00023263,1,,,,,,
E00023263,3,,,,,,
E00023263,5,,,,,,
E00023264,0,,,,,,
E00023264,1,,,,,,
E00023265,0,,,,,,
E00023265,1,,,,,,
E00023266,0,,,,,,
E00023266,1,,,,,,
E00023266,2,,,,,,
E00023267,0,,,,,,
E00023267,1,,,,,,
E00023267,2,,,,,,
E00023267,5,,,,,,
E00023559,0,,,,,,
E00023559,1,,,,,,
E00023559,2,,,,,,
E00023559,3,,,,,,
E00023559,5,,,,,,
E00023932,0,,,,,,
E00023932,1,,,,,,
E00023932,3,,,,,,
E00023932,4,,,,,,
E00023932,5,,,,,,
E00023936,0,,,,,,
E00023936,1,,,,,,
E00023936,4,,,,,,
E00023936,5,,,,,,
E00024126,0,,,,,,
E00024126,1,,,,,,
E00024126,4,,,,,,
E00024126,5,,,,,,
E00167227,0,,,,,,
E00167227,1,,,,,,
E00167227,4,,,,,,
E00175131,0,,,,,,
E00175131,1,,,,,,
E00175131,2,,,,,,
E00175131,3,,,,,,
E00175131,5,,,,,,
E00175260,0,,,,,,
E00175260,1,,,,,,
E00175261,0,,,,,,
E00175261,1,,,,,,
E00176584,0,,,,,,
E00176584,1,,,,,,
